"county","indicator","count"
"Monrovia","q2",3
"Grand Bassa","q2",4
"Monrovia","q3",9
"Grand Bassa","q3",14
"Monrovia","q4a.q4a",1
"Grand Bassa","q4a.q4a",4
"Monrovia","q4a.q4b",1
"Grand Bassa","q4a.q4b",8
"Monrovia","q4a.q4c",2
"Grand Bassa","q4a.q4c",2
"Monrovia","q4a.q4d",0
"Grand Bassa","q4a.q4d",0
"Monrovia","q4a.q4e",0
"Grand Bassa","q4a.q4e",0
"Monrovia","q4a.q4f",0
"Grand Bassa","q4a.q4f",1
"Monrovia","q4a.q4g",0
"Grand Bassa","q4a.q4g",0
"Monrovia","q4a.q4h",0
"Grand Bassa","q4a.q4h",1
"Monrovia","q4a.q4i",0
"Grand Bassa","q4a.q4i",1
"Monrovia","q4a.q4j",0
"Grand Bassa","q4a.q4j",0
"Monrovia","q4a.q4k",0
"Grand Bassa","q4a.q4k",1
"Monrovia","q4a.q4l",0
"Grand Bassa","q4a.q4l",0
"Monrovia","q4a.q4m",0
"Grand Bassa","q4a.q4m",0
"Monrovia","q4a.q4n",0
"Grand Bassa","q4a.q4n",1
"Monrovia","q4a.q4o",0
"Grand Bassa","q4a.q4o",0
"Monrovia","q4a.q4p",1
"Grand Bassa","q4a.q4p",2
"Monrovia","q4a.q4q",1
"Grand Bassa","q4a.q4q",4
"Monrovia","q4a.q4r",0
"Grand Bassa","q4a.q4r",0
