"county","type","indicator","estimate","lcl","ucl"
"Monrovia","est","q1",NA,NA,NA
"Grand Bassa","est","q1",NA,NA,NA
"Monrovia","est","q2",NA,NA,NA
"Grand Bassa","est","q2",NA,NA,NA
"Monrovia","est","q3",NA,NA,NA
"Grand Bassa","est","q3",NA,NA,NA
"Monrovia","est","q4a.q4a",NA,NA,NA
"Grand Bassa","est","q4a.q4a",NA,NA,NA
"Monrovia","est","q4a.q4b",NA,NA,NA
"Grand Bassa","est","q4a.q4b",NA,NA,NA
"Monrovia","est","q4a.q4c",NA,NA,NA
"Grand Bassa","est","q4a.q4c",NA,NA,NA
"Monrovia","est","q4a.q4d",NA,NA,NA
"Grand Bassa","est","q4a.q4d",NA,NA,NA
"Monrovia","est","q4a.q4e",NA,NA,NA
"Grand Bassa","est","q4a.q4e",NA,NA,NA
"Monrovia","est","q4a.q4f",NA,NA,NA
"Grand Bassa","est","q4a.q4f",NA,NA,NA
"Monrovia","est","q4a.q4g",NA,NA,NA
"Grand Bassa","est","q4a.q4g",NA,NA,NA
"Monrovia","est","q4a.q4h",NA,NA,NA
"Grand Bassa","est","q4a.q4h",NA,NA,NA
"Monrovia","est","q4a.q4i",NA,NA,NA
"Grand Bassa","est","q4a.q4i",NA,NA,NA
"Monrovia","est","q4a.q4j",NA,NA,NA
"Grand Bassa","est","q4a.q4j",NA,NA,NA
"Monrovia","est","q4a.q4k",NA,NA,NA
"Grand Bassa","est","q4a.q4k",NA,NA,NA
"Monrovia","est","q4a.q4l",NA,NA,NA
"Grand Bassa","est","q4a.q4l",NA,NA,NA
"Monrovia","est","q4a.q4m",NA,NA,NA
"Grand Bassa","est","q4a.q4m",NA,NA,NA
"Monrovia","est","q4a.q4n",NA,NA,NA
"Grand Bassa","est","q4a.q4n",NA,NA,NA
"Monrovia","est","q4a.q4o",NA,NA,NA
"Grand Bassa","est","q4a.q4o",NA,NA,NA
"Monrovia","est","q4a.q4p",NA,NA,NA
"Grand Bassa","est","q4a.q4p",NA,NA,NA
"Monrovia","est","q4a.q4q",NA,NA,NA
"Grand Bassa","est","q4a.q4q",NA,NA,NA
"Monrovia","est","q4a.q4r",NA,NA,NA
"Grand Bassa","est","q4a.q4r",NA,NA,NA
"Monrovia","est","q4a.q4s",NA,NA,NA
"Grand Bassa","est","q4a.q4s",NA,NA,NA
"Monrovia","est","q4t",NA,NA,NA
"Grand Bassa","est","q4t",NA,NA,NA
