"psu","sp.map","county","spid","segment","icf1","icf2","icf2a.1","icf2a.2","icf2a.3","icf2a.4","icf2a.5","icf2a.6","icf2a.7","icf2a.8","icf2a.9","icf2a.10","icf2a.11","icf3"
"120058","120",1,20,58,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"120058","120",1,20,58,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"120058","120",1,20,58,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"120058","120",1,20,58,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"120058","120",1,20,58,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"120060","120",1,20,60,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"120060","120",1,20,60,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"120060","120",1,20,60,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"120060","120",1,20,60,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"120060","120",1,20,60,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"120060","120",1,20,60,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"120058","120",1,20,58,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"120058","120",1,20,58,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"121063","121",1,21,63,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA
"121063","121",1,21,63,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121063","121",1,21,63,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121063","121",1,21,63,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"121063","121",1,21,63,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121063","121",1,21,63,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128083","128",1,28,83,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
