"county","indicator","count"
"Monrovia","icf2a.1",28
"Grand Bassa","icf2a.1",9
"Monrovia","icf2a.2",2
"Grand Bassa","icf2a.2",11
"Monrovia","icf2a.3",0
"Grand Bassa","icf2a.3",2
"Monrovia","icf2a.4",2
"Grand Bassa","icf2a.4",12
"Monrovia","icf2a.5",0
"Grand Bassa","icf2a.5",6
"Monrovia","icf2a.6",1
"Grand Bassa","icf2a.6",0
"Monrovia","icf2a.7",3
"Grand Bassa","icf2a.7",3
"Monrovia","icf2a.8",15
"Grand Bassa","icf2a.8",48
"Monrovia","icf2a.9",0
"Grand Bassa","icf2a.9",10
"Monrovia","icf2a.10",1
"Grand Bassa","icf2a.10",1
"Monrovia","icf2a.11",0
"Grand Bassa","icf2a.11",0
