"county","type","indicator","estimate","lcl","ucl"
"Monrovia","est","icf1",0.776203966005666,0.692448957628682,0.854211956521739
"Grand Bassa","est","icf1",0.774678111587983,0.720914344125501,0.837454800963172
"Monrovia","est","icf2",0.765472312703583,0.663117950721741,0.834271296054351
"Grand Bassa","est","icf2",0.781176470588235,0.712709620476611,0.832704700185677
"Monrovia","est","icf2a.1",0.522727272727273,0.297619047619048,0.716730769230769
"Grand Bassa","est","icf2a.1",0.0659340659340659,0.0110931899641577,0.14643179765131
"Monrovia","est","icf2a.2",0.027027027027027,0,0.129669887278583
"Grand Bassa","est","icf2a.2",0.0508474576271186,0.00933722026922747,0.122576530612245
"Monrovia","est","icf2a.3",0,0,0
"Grand Bassa","est","icf2a.3",0,0,0.0116279069767442
"Monrovia","est","icf2a.4",0.0181818181818182,0,0.108715415019763
"Grand Bassa","est","icf2a.4",0.1125,0.0449667058362711,0.19390589569161
"Monrovia","est","icf2a.5",0,0,0
"Grand Bassa","est","icf2a.5",0.037037037037037,0,0.0986619718309859
"Monrovia","est","icf2a.6",0.037037037037037,0,0.25
"Grand Bassa","est","icf2a.6",0,0,0
"Monrovia","est","icf2a.7",0.161290322580645,0,0.463461538461539
"Grand Bassa","est","icf2a.7",0.025974025974026,0,0.0725442834138487
"Monrovia","est","icf2a.8",0.708333333333333,0.333333333333333,0.96
"Grand Bassa","est","icf2a.8",0.670731707317073,0.523042479908152,0.805296510718198
"Monrovia","est","icf2a.9",0,0,0
"Grand Bassa","est","icf2a.9",0.05,0,0.135495148401826
"Monrovia","est","icf2a.10",0,0,0
"Grand Bassa","est","icf2a.10",0,0,0.0402222222222223
"Monrovia","est","icf2a.11",0,0,0
"Grand Bassa","est","icf2a.11",0,0,0
"Monrovia","est","icf3",4.27083333333333,3.93420138888889,4.81298324178708
"Grand Bassa","est","icf3",4.31486880466472,3.96229115550882,4.63155054515661
