"county","indicator","count"
"Monrovia","ifa3a.1",1
"Grand Bassa","ifa3a.1",5
"Monrovia","ifa3a.2",5
"Grand Bassa","ifa3a.2",4
"Monrovia","ifa3a.3",1
"Grand Bassa","ifa3a.3",14
"Monrovia","ifa3a.4",3
"Grand Bassa","ifa3a.4",24
"Monrovia","ifa3a.5",0
"Grand Bassa","ifa3a.5",0
"Monrovia","ifa3a.6",1
"Grand Bassa","ifa3a.6",4
"Monrovia","ifa3a.7",0
"Grand Bassa","ifa3a.7",2
"Monrovia","ifa3a.8",0
"Grand Bassa","ifa3a.8",3
"Monrovia","ifa3a.9",1
"Grand Bassa","ifa3a.9",0
"Monrovia","ifa3a.10",2
"Grand Bassa","ifa3a.10",3
"Monrovia","ifa4a.1",1
"Grand Bassa","ifa4a.1",0
"Monrovia","ifa4a.2",0
"Grand Bassa","ifa4a.2",0
"Monrovia","ifa4a.3",0
"Grand Bassa","ifa4a.3",0
"Monrovia","ifa4a.4",0
"Grand Bassa","ifa4a.4",0
"Monrovia","ifa4a.5",0
"Grand Bassa","ifa4a.5",1
"Monrovia","ifa4a.6",0
"Grand Bassa","ifa4a.6",0
