"county","type","indicator","estimate","lcl","ucl"
"Monrovia","est","ifa1",0.858024691358025,0.797005811380867,0.913851643145246
"Grand Bassa","est","ifa1",0.871495327102804,0.826664991624791,0.911593089118493
"Monrovia","est","ifa2",0.811145510835913,0.732416719044626,0.869589781380496
"Grand Bassa","est","ifa2",0.848684210526316,0.799755011135858,0.889596607271418
"Monrovia","est","ifa3",0.807486631016043,0.736888631258604,0.868396588702432
"Grand Bassa","est","ifa3",0.850107066381156,0.794113661724852,0.894015447154472
"Monrovia","est","ifa3a.1",0.05,0,0.214285714285714
"Grand Bassa","est","ifa3a.1",0.0869565217391304,0,0.2109375
"Monrovia","est","ifa3a.2",0.166666666666667,0,0.387741935483871
"Grand Bassa","est","ifa3a.2",0.0731707317073171,0,0.216342905405405
"Monrovia","est","ifa3a.3",0.0454545454545455,0,0.222649572649573
"Grand Bassa","est","ifa3a.3",0.305555555555556,0.120707070707071,0.5
"Monrovia","est","ifa3a.4",0.277777777777778,0,0.625568181818182
"Grand Bassa","est","ifa3a.4",0.521739130434783,0.234243697478992,0.772979797979798
"Monrovia","est","ifa3a.5",0,0,0
"Grand Bassa","est","ifa3a.5",0,0,0
"Monrovia","est","ifa3a.6",0.0714285714285714,0,0.333333333333333
"Grand Bassa","est","ifa3a.6",0.0909090909090909,0,0.285714285714286
"Monrovia","est","ifa3a.7",0,0,0
"Grand Bassa","est","ifa3a.7",0.0689655172413793,0,0.266666666666667
"Monrovia","est","ifa3a.8",0,0,0
"Grand Bassa","est","ifa3a.8",0.0588235294117647,0,0.200869565217391
"Monrovia","est","ifa3a.9",0.04,0,0.333333333333333
"Grand Bassa","est","ifa3a.9",0,0,0
"Monrovia","est","ifa3a.10",0.0666666666666667,0,0.37625
"Grand Bassa","est","ifa3a.10",0.0540540540540541,0,0.222222222222222
"Monrovia","est","ifa4",0.802777777777778,0.731174918321186,0.870672953964194
"Grand Bassa","est","ifa4",0.852272727272727,0.790984483681113,0.895091073620456
"Monrovia","est","ifa4a.1",0.5,0,1
"Grand Bassa","est","ifa4a.1",0,0,0
"Monrovia","est","ifa4a.2",0,0,0
"Grand Bassa","est","ifa4a.2",0,0,0
"Monrovia","est","ifa4a.3",0,0,0
"Grand Bassa","est","ifa4a.3",0,0,0
"Monrovia","est","ifa4a.4",0,0,0
"Grand Bassa","est","ifa4a.4",0,0,0
"Monrovia","est","ifa4a.5",0,0,0
"Grand Bassa","est","ifa4a.5",0,0,0.5
"Monrovia","est","ifa4a.6",0,0,0
"Grand Bassa","est","ifa4a.6",0,0,0
"Monrovia","est","ifa5",0.325581395348837,0.208206055734191,0.430448638804865
"Grand Bassa","est","ifa5",0.431726907630522,0.336388130252101,0.519778806584362
