"psu","sp.map","county","spid","segment","vit1","vit1a.1","vit1a.2","vit1a.3","vit1a.4","vit1a.5","vit1a.6","vit1a.7","vit1a.8","vit1a.9","vit1a.10","vit1a.11","vit2"
"120058","120",1,20,58,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"120058","120",1,20,58,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"120058","120",1,20,58,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"120058","120",1,20,58,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"120058","120",1,20,58,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"120060","120",1,20,60,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"120060","120",1,20,60,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"120060","120",1,20,60,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"120060","120",1,20,60,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"120060","120",1,20,60,0,0,0,0,0,0,0,1,0,0,0,0,0
"120060","120",1,20,60,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"120058","120",1,20,58,0,0,0,0,0,0,0,0,0,0,0,1,0
"120058","120",1,20,58,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"121063","121",1,21,63,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"121063","121",1,21,63,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"121063","121",1,21,63,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"121063","121",1,21,63,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,0
"121063","121",1,21,63,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"121063","121",1,21,63,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"128083","128",1,28,83,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"128083","128",1,28,83,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"128083","128",1,28,83,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"128081","128",1,28,81,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,0
"128081","128",1,28,81,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"128083","128",1,28,83,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"125073","125",1,25,73,0,0,0,0,0,0,0,0,1,0,0,0,0
"125073","125",1,25,73,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"125073","125",1,25,73,0,0,0,0,0,0,1,0,0,0,0,0,0
"125073","125",1,25,73,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"125073","125",1,25,73,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"124071","124",1,24,71,0,0,0,0,0,0,0,0,1,0,0,0,0
"124071","124",1,24,71,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"124071","124",1,24,71,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"124071","124",1,24,71,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"124071","124",1,24,71,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"113039","113",1,13,39,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"110028","110",1,10,28,0,1,0,0,0,0,0,0,0,0,0,0,0
"101001","101",1,1,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,0
"101001","101",1,1,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,0
"110028","110",1,10,28,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"113037","113",1,13,37,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"113037","113",1,13,37,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"113038","113",1,13,38,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"110029","110",1,10,29,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"110029","110",1,10,29,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"101002","101",1,1,2,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,0
"101003","101",1,1,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"102005","102",1,2,5,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,0
"102005","102",1,2,5,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,0
"102006","102",1,2,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"103007","103",1,3,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"103007","103",1,3,7,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,0
"103008","103",1,3,8,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,0
"103008","103",1,3,8,0,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,0
