"county","indicator","count"
"Monrovia","mnp2a.1",4
"Grand Bassa","mnp2a.1",2
"Monrovia","mnp2a.2",0
"Grand Bassa","mnp2a.2",1
"Monrovia","mnp2a.3",1
"Grand Bassa","mnp2a.3",0
"Monrovia","mnp2a.4",57
"Grand Bassa","mnp2a.4",20
"Monrovia","mnp2a.5",2
"Grand Bassa","mnp2a.5",1
"Monrovia","mnp2a.6",7
"Grand Bassa","mnp2a.6",20
"Monrovia","mnp2a.7",0
"Grand Bassa","mnp2a.7",1
"Monrovia","mnp2a.8",1
"Grand Bassa","mnp2a.8",0
"Monrovia","mnp2a.9",0
"Grand Bassa","mnp2a.9",1
"Monrovia","mnp2a.10",66
"Grand Bassa","mnp2a.10",70
"Monrovia","mnp3a.1",0
"Grand Bassa","mnp3a.1",0
"Monrovia","mnp3a.2",0
"Grand Bassa","mnp3a.2",0
"Monrovia","mnp3a.3",0
"Grand Bassa","mnp3a.3",0
"Monrovia","mnp3a.4",0
"Grand Bassa","mnp3a.4",0
"Monrovia","mnp3a.5",0
"Grand Bassa","mnp3a.5",0
"Monrovia","mnp3a.6",0
"Grand Bassa","mnp3a.6",0
"Monrovia","mnp3a.7",0
"Grand Bassa","mnp3a.7",0
"Monrovia","mnp3a.8",2
"Grand Bassa","mnp3a.8",0
"Monrovia","mnp3a.9",0
"Grand Bassa","mnp3a.9",0
