"psu","pop"
"101001",229.666666666667
"101002",758
"101003",374
"102004",574
"102005",467
"102006",724
"103007",373
"103008",444
"103009",296
"104010",506
"105013",1039
"105014",555
"105015",469
"106016",442
"106017",473
"106018",527
"107019",350
"107020",446
"107021",422
"108022",545
"108023",453
"108024",226
"109025",415
"109026",874
"109027",593
"110028",564
"110029",563
"111031",527
"111032",416
"112034",233.5
"112035",477
"113037",382
"113038",482
"113039",449
"114040",522
"114042",280
"115044",612
"115045",820
"116046",639
"116047",346
"116048",0
"117049",311
"117050",521
"117051",287
"118052",548
"118053",950
"118054",689
"119055",272
"119057",498
"120058",196.666666666667
"120059",784
"120060",669
"121061",5
"121062",813
"121063",622
"122064",399
"122065",349
"122066",350
"123068",796
"124070",578
"124072",471
"125073",389
"126075",342
"126076",578
"126077",621
"127078",489
"127079",444
"127080",557
"128081",126
"128082",516
"128083",732
"129084",500
"129085",191
"130086",430
"201001",24
"201002",120
"201003",160
"201004",45
"201005",80
"201006",100
"201007",102
"201008",10
"201009",15
"201010",26
"201011",12
"201012",6
"201013",270
"202015",5
"202016",150
"202018",275
"202021",270
"202022",36
"202023",105
"202024",36
"202025",200
"202026",59
"203027",25
"203028",5
"203029",32
"203030",150
"203031",5
"203032",5
"203033",36
"203034",150
"203035",15
"203036",240
"203038",75
"204039",160
"204040",100
"204041",58
"204043",75
"204044",60
"204045",15
"204046",160
"204047",35
"204048",25
"204049",0
"204050",47
"204051",81
"205052",5
"205053",4
"205054",110
"205055",9
"205056",9
"205057",250
"205058",15
"205059",30
"205060",15
"205061",16
"205062",8
"205063",15
"205064",125
"206065",220
"206066",250
"206067",136
"206069",150
"206070",75
"206071",150
"206072",200
"206073",36
"206074",106
"206075",5
"206076",100
"206077",5
"207078",13
"207082",5
"207084",12
"207086",15
"207087",70
"207088",11
"207090",10.5
"208091",64
"208092",40
"208093",110
"208094",70
"208095",225
"208096",3
"208097",100
"208098",10
"208099",75
"208100",80
"208101",37
"208102",32
"209104",12
"209105",25
"209106",0
"209107",15
"209108",13
"209109",0
"209110",25
"209111",60
"209112",65
"209113",25
"209114",6
"209115",120
"209116",0
"210118",40
"210119",247
"210120",49
"210121",420
"210122",650
"210123",450
"210124",144
"210125",20
"210126",248
"210127",8
"210128",750
"210129",290
"211131",12
"211135",52
"211136",31
"211138",21
"211139",50
"211141",10
"211142",5
"212147",34
"212148",5
"212151",4
"212152",5
"212153",10
"212154",5
"213156",25
"213157",25
"213158",19
"213159",45
"213160",25
"213161",50
"213162",18
"213163",15
"213164",20
"213165",35
"213166",26
"213167",20
"213168",15
"214169",118
"214170",85
"214171",35
"214172",103
"214173",75
"214174",25
"214175",20
"214176",100
"214177",150
"214178",27
"214179",75
"214180",25
"214181",19
"215182",175
"215183",113
"215184",150
"215185",50
"215186",60
"215187",100
"215188",19
"215189",35
"215190",450
"215191",120
"215192",16
"215193",80
"215194",153
"216195",108
"216196",320
"216197",298
"216199",161
"216200",342
"216202",175
"216203",30
"216204",83
"216206",175
"217208",5
"217213",8
"217214",15
"217215",4
"217217",10
"217218",3
"217219",10
"217220",20
"218221",75
"218222",70
"218223",25
"218224",20
"218225",30
"218226",20
"218227",42
"218228",120
"218229",60
"218230",20
"218231",17
"218232",53
"218233",65
"219234",85
"219235",46
"219236",45
"219237",25
"219238",11
"219239",32
"219240",100
"219241",14
"219242",100
"219243",32
"219244",150
"219245",97
"219246",85
"220247",25
"220248",100
"220249",122
"220250",122
"220251",120
"220252",125
"220253",45
"220254",45
"220255",85
"220256",96
"220257",85
"220258",85
"220259",75
"221260",111
"221261",27
"221262",62
"221263",17
"221264",520
"221265",285
"221266",70
"221268",182
"221269",27
"221270",36
"221272",181
"222275",54
"222276",20
"222277",20
"222279",90
"222280",30
"222281",49
"222282",16
"222283",23
"222285",218
"223286",13
"223287",5
"223288",5
"223289",5
"223290",3
"223291",6
"223292",4
"223293",5
"223294",72
"223296",15
"223297",13
"223298",15
"224299",95
"225314",29
"225318",75
"226325",90
"226326",28
"226327",60
"226328",110
"226329",50
"226332",50
"226333",26
"226335",50
"226336",9
"226337",2879
"227338",50
"227339",57
"227340",127
"227341",150
"227342",160
"227343",85
"227344",50
"227345",350
"227348",185
"227349",1475
"227350",250
"228352",57
"228353",60
"228355",351.5
"228356",153
"228357",120
"228358",1221
"228359",143
"228360",225
"228362",110
"229364",222.5
"229366",15
"229368",128.5
"229369",0
"229370",74
"229371",71
"229372",1975
"229373",70
"229374",198
"229375",158
"229376",50
"230378",289
"230382",331
