cid,county,spid,segment,clan1,sname,est_pop,est_hh1,map,nsegment,nsample1,spInterval1,randomStart1,pop,est_hh2,district,clan2,vname,nvillage,spInterval2,randomStart2,coords,_coords_latitude,_coords_longitude,_coords_altitude,_coords_precision,instanceID,instanceName,_id,_uuid,_submission_time,_tags,_notes,_version,_duration,_submitted_by,_total_media,_media_count,_review_status,_review_comment,_media_all_received,_xform_id
1,Urban Montserrado,20,58,Z1200 Chicken Soup Factory,Segment  1,272,49,"https://www.google.co.uk/maps/place/6.33870108960351,-10.7151891897493",3,7,7,2,272,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6.338871666666667 -10.714578333333334 -4.0 4.7,6.338871666666667,-10.714578333333334,-4.0,4.7,uuid:bc6042de-adaf-4f44-996a-009ecc107487,VF-Urban Montserrado-Sampling Point 20-Segment/Village58,34027716,bc6042de-adaf-4f44-996a-009ecc107487,2018-09-04T18:02:58,,,201808311643,,cadnisurvey,0,0,n/a,n/a,True,333533
1,Urban Montserrado,20,60,Z1100 Rock Hill,Segment  3,669,123,"https://www.google.co.uk/maps/place/6.3303757294382,-10.7071610941396",3,7,18,13,669,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6.328729999999999 -10.705546666666665 58.3 5.0,6.328729999999999,-10.705546666666665,58.3,5.0,uuid:8fb9c816-e951-47f6-86b0-12534a2e9e44,VF-Urban Montserrado-Sampling Point 20-Segment/Village60,34028442,8fb9c816-e951-47f6-86b0-12534a2e9e44,2018-09-04T18:20:55,,,201808311643,,cadnisurvey,0,0,n/a,n/a,True,333533
1,Urban Montserrado,20,58,Z1200 Chicken Soup Factory,Segment  1,272,49,"https://www.google.co.uk/maps/place/6.33870108960351,-10.7151891897493",3,7,7,2,272,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,uuid:5f951525-373d-41e1-a479-55788d5785e6,VF-Urban Montserrado-Sampling Point 20-Segment/Village58,34028857,5f951525-373d-41e1-a479-55788d5785e6,2018-09-04T18:41:58,,,201808311643,,cadnisurvey,0,0,n/a,n/a,True,333533
1,Urban Montserrado,20,59,Z1100 City View,Segment  2,784,142,"https://www.google.co.uk/maps/place/6.33011834276099,-10.6970339677832",3,7,20,20,784,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6.326661666666666 -10.695185 29.1 5.0,6.326661666666666,-10.695185,29.1,5.0,uuid:6816033b-14e8-45ba-8000-eaaf691c5ac7,VF-Urban Montserrado-Sampling Point 20-Segment/Village59,34028862,6816033b-14e8-45ba-8000-eaaf691c5ac7,2018-09-04T18:42:02,,,201808311643,,cadnisurvey,0,0,n/a,n/a,True,333533
1,Urban Montserrado,21,63,Z1100 Barnard Farm,Segment  3,622,102,"https://www.google.co.uk/maps/place/6.32674052598276,-10.6690045291434",3,7,15,17,622,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6.32223 -10.663906666666666 9.1 5.0,6.32223,-10.663906666666666,9.1,5.0,uuid:1fe2110c-2dc9-498b-913a-5fb164ded247,VF-Urban Montserrado-Sampling Point 21-Segment/Village63,34028886,1fe2110c-2dc9-498b-913a-5fb164ded247,2018-09-04T18:42:54,,,201808311643,,cadnisurvey,0,0,n/a,n/a,True,333533
1,Urban Montserrado,13,39,Z1200 Mangrove Island,Segment  3,449,92,"https://www.google.co.uk/maps/place/6.3155335053027,-10.7443751464668",3,7,13,10,449,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6.323051666666667 -10.66449 16.1 5.0,6.323051666666667,-10.66449,16.1,5.0,uuid:9dabcc96-ffb1-4b26-b311-eb18c02d97dc,VF-Urban Montserrado-Sampling Point 13-Segment/Village39,34028887,9dabcc96-ffb1-4b26-b311-eb18c02d97dc,2018-09-04T18:42:57,,,201808311643,,cadnisurvey,0,0,n/a,n/a,True,333533
1,Urban Montserrado,20,59,Z1100 City View,Segment  2,784,142,"https://www.google.co.uk/maps/place/6.33011834276099,-10.6970339677832",3,7,20,2,784,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6.3265150000000006 -10.695188333333332 49.2 5.0,6.3265150000000006,-10.695188333333332,49.2,5.0,uuid:ec92b9df-24f5-48cb-a0d1-fd89629ef1eb,VF-Urban Montserrado-Sampling Point 20-Segment/Village59,34029015,ec92b9df-24f5-48cb-a0d1-fd89629ef1eb,2018-09-04T18:51:38,,,201808311643,,cadnisurvey,0,0,n/a,n/a,True,333533
1,Urban Montserrado,20,58,Z1200 Chicken Soup Factory,Segment  1,272,49,"https://www.google.co.uk/maps/place/6.33870108960351,-10.7151891897493",3,7,7,5,46,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6.3375900000000005 -10.716458333333332 20.4 5.0,6.3375900000000005,-10.716458333333332,20.4,5.0,uuid:c375a5e2-1c42-4e54-96b3-250df8fbcae1,VF-Urban Montserrado-Sampling Point 20-Segment/Village58,34029067,c375a5e2-1c42-4e54-96b3-250df8fbcae1,2018-09-04T18:55:02,,,201808311643,,cadnisurvey,0,0,n/a,n/a,True,333533
1,Urban Montserrado,28,81,Z1600 Samukai Town,Segment  1,126,41,"https://www.google.co.uk/maps/place/6.40080110009282,-10.7309181907442",3,7,6,2,126,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6.396368333333333 -10.718211666666665 -15.0 5.0,6.396368333333333,-10.718211666666665,-15.0,5.0,uuid:9743d5f2-a1a8-43f5-b941-0fb3b7d19149,VF-Urban Montserrado-Sampling Point 28-Segment/Village81,34033971,9743d5f2-a1a8-43f5-b941-0fb3b7d19149,2018-09-04T21:28:38,,,201808311643,,cadnisurvey,0,0,n/a,n/a,True,333533
1,Urban Montserrado,28,83,Z1600 Upper Caldwell,Segment  3,732,107,"https://www.google.co.uk/maps/place/6.39168061371822,-10.7385847989472",3,7,15,7,732,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6.400176666666666 -10.730638333333332 218.6 5.0,6.400176666666666,-10.730638333333332,218.6,5.0,uuid:38bdba64-d069-4eb1-9460-7861ba85738e,VF-Urban Montserrado-Sampling Point 28-Segment/Village83,34033973,38bdba64-d069-4eb1-9460-7861ba85738e,2018-09-04T21:28:39,,,201808311643,,cadnisurvey,0,0,n/a,n/a,True,333533
1,Urban Montserrado,25,73,Z1600 Cassava Hill,Segment  1,389,100,"https://www.google.co.uk/maps/place/6.38162495005299,-10.7063974369175",2,10,10,9,389,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6.413959999999999 -10.713255 -15.6 4.2,6.413959999999999,-10.713255,-15.6,4.2,uuid:1b82f09f-0702-44b8-8c1e-28ddf340853e,VF-Urban Montserrado-Sampling Point 25-Segment/Village73,34033974,1b82f09f-0702-44b8-8c1e-28ddf340853e,2018-09-04T21:28:40,,,201808311643,,cadnisurvey,0,0,n/a,n/a,True,333533
1,Urban Montserrado,10,28,Z1100 Police Academy,Segment  1,564,86,"https://www.google.co.uk/maps/place/6.28515812972715,-10.7027054878433",3,7,12,6,564,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,uuid:366288f4-1a2d-4e3f-92b6-008fa2e0c8ef,VF-Urban Montserrado-Sampling Point 10-Segment/Village28,34071575,366288f4-1a2d-4e3f-92b6-008fa2e0c8ef,2018-09-05T15:22:12,,,201808311643,,cadnisurvey,0,0,n/a,n/a,True,333533
1,Urban Montserrado,1,1,Z1100 King Gray-Elwa,Segment  1,689,103,"https://www.google.co.uk/maps/place/6.24130673111585,-10.6991255341117",3,7,15,10,689,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6.247776666666666 -10.705319999999999 5.4 5.0,6.247776666666666,-10.705319999999999,5.4,5.0,uuid:1c088dcd-dbec-45be-b58c-d1410ced802c,VF-Urban Montserrado-Sampling Point 1-Segment/Village1,34071602,1c088dcd-dbec-45be-b58c-d1410ced802c,2018-09-05T15:22:48,,,201808311643,,cadnisurvey,0,0,n/a,n/a,True,333533
