"county","type","indicator","estimate","lcl","ucl"
"Monrovia","est","vit1",0.820580474934037,0.754367545232984,0.884093177596658
"Grand Bassa","est","vit1",0.854625550660793,0.809488795518207,0.891887755102041
"Monrovia","est","vit1a.1",0.526315789473684,0.292855055523086,0.778174603174603
"Grand Bassa","est","vit1a.1",0.142857142857143,0.0454545454545455,0.25
"Monrovia","est","vit1a.2",0,0,0
"Grand Bassa","est","vit1a.2",0.0188679245283019,0,0.0606369820655535
"Monrovia","est","vit1a.3",0.0392156862745098,0,0.151088534107402
"Grand Bassa","est","vit1a.3",0,0,0
"Monrovia","est","vit1a.4",0,0,0
"Grand Bassa","est","vit1a.4",0,0,0
"Monrovia","est","vit1a.5",0.15,0,0.455818181818182
"Grand Bassa","est","vit1a.5",0.04,0,0.159469696969697
"Monrovia","est","vit1a.6",0,0,0.2
"Grand Bassa","est","vit1a.6",0.142857142857143,0,0.300151515151515
"Monrovia","est","vit1a.7",0.518518518518518,0.149642857142857,0.818939393939394
"Grand Bassa","est","vit1a.7",0,0,0.0324308755760369
"Monrovia","est","vit1a.8",0.0714285714285714,0,0.285714285714286
"Grand Bassa","est","vit1a.8",0.470588235294118,0.296876876876877,0.645403225806452
"Monrovia","est","vit1a.9",0,0,0
"Grand Bassa","est","vit1a.9",0,0,0
"Monrovia","est","vit1a.10",0.1,0,0.357804232804233
"Grand Bassa","est","vit1a.10",0.217391304347826,0.0605169340463458,0.40483630952381
"Monrovia","est","vit1a.11",0,0,0.142857142857143
"Grand Bassa","est","vit1a.11",0.106382978723404,0,0.23924287856072
"Monrovia","est","vit2",0.646525679758308,0.539392950391645,0.728661280915114
"Grand Bassa","est","vit2",0.679752066115702,0.613202546998181,0.738738171049409
